* Measurement data measured by REW V5.20.3
* Source: Input device not selected, no input selected, R, volume: 0,000. Timing signal peak level -38,3 dBFS, measurement signal peak level -25,9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 13.09.2022 16:58:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 17,4395 ms (5,982 m, 19 ft 7,5 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: Sep 13
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.145 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.144928 41.149 124.5020
20.290907 41.572 124.9891
20.437943 41.998 125.5676
20.586044 42.277 125.6870
20.735220 42.278 125.3618
20.885475 42.062 125.1938
21.036821 41.614 125.2197
21.189262 40.936 125.6814
21.342808 40.025 126.9739
21.497467 38.875 129.0417
21.653246 37.451 133.1033
21.810154 35.693 138.6073
21.968201 33.793 148.1543
22.127390 31.540 164.5849
22.287735 29.547 -174.7328
22.449242 29.252 -151.8766
22.611917 30.269 -127.0856
22.775772 31.531 -110.9334
22.940815 33.148 -103.9722
23.107054 34.455 -101.7324
23.274498 35.206 -103.7097
23.443153 35.653 -109.4660
23.613033 35.759 -118.5032
23.784142 35.759 -130.8025
23.956491 35.933 -146.6846
24.130091 36.280 -164.7723
24.304947 37.093 177.8262
24.481071 38.209 161.0392
24.658470 39.268 147.4068
24.837156 40.287 136.4299
25.017136 41.022 127.5389
25.198421 41.496 120.7564
25.381020 41.672 115.3909
25.564941 41.550 111.5517
25.750195 41.125 109.1686
25.936790 40.391 108.4219
26.124741 39.318 110.0696
26.314051 37.935 114.5210
26.504732 36.277 124.2801
26.696796 34.620 138.8740
26.890253 33.962 159.2282
27.085112 34.106 -178.5531
27.281382 35.248 -162.3696
27.479073 36.698 -150.1987
27.678198 37.760 -142.7216
27.878765 38.499 -137.1173
28.080786 38.808 -132.3064
28.284271 38.868 -126.5573
28.489231 38.702 -119.4738
28.695675 38.640 -111.0219
28.903616 38.679 -101.8564
29.113064 38.922 -94.2945
29.324028 39.109 -88.6521
29.536524 39.055 -86.1367
29.750557 38.416 -84.8506
29.966141 37.074 -84.1475
30.183289 34.418 -77.0086
30.402010 31.720 -58.4573
30.622314 31.620 -8.9916
30.844217 33.020 25.6396
31.067726 35.684 29.7500
31.292856 36.942 24.1085
31.519617 37.135 9.5092
31.748020 36.394 -11.3046
31.978081 35.601 -39.7067
32.209808 35.063 -73.8006
32.443211 35.616 -104.8124
32.678310 36.221 -128.8191
32.915108 36.403 -142.9157
33.153625 35.751 -146.0999
33.393871 35.378 -138.7782
33.635857 36.169 -121.1334
33.879597 38.090 -111.5177
34.125103 40.150 -110.3817
34.372387 41.429 -118.9025
34.621464 41.867 -133.4924
34.872345 41.589 -154.3610
35.125042 40.735 178.4239
35.379574 39.936 143.7891
35.635948 39.749 106.3944
35.894180 40.304 69.7994
36.154285 40.973 39.4279
36.416275 41.129 14.4737
36.680161 40.511 -4.4926
36.945961 38.936 -16.6227
37.213688 36.427 -14.7839
37.483353 35.459 2.4730
37.754974 36.803 25.5517
38.028561 39.465 27.2262
38.304131 41.213 16.8789
38.581699 42.055 -0.7844
38.861279 42.073 -22.6788
39.142883 41.400 -47.7722
39.426529 40.139 -76.3970
39.712231 38.321 -109.6768
40.000000 36.034 -149.8352
40.289856 33.644 160.7117
40.581814 32.859 100.9828
40.875885 34.289 49.4599
41.172089 36.188 10.2932
41.470440 37.386 -18.0918
41.770950 37.605 -40.7695
42.073643 36.961 -61.4352
42.378525 35.770 -81.8279
42.685616 35.249 -101.0211
42.994934 36.676 -116.1824
43.306492 40.098 -126.1018
43.620308 44.222 -132.9316
43.936401 48.101 -140.7452
44.254780 51.529 -150.9104
44.575470 54.492 -163.2310
44.898483 57.025 -177.3316
45.223835 59.181 167.1243
45.551544 61.018 150.4210
45.881630 62.590 132.8381
46.214108 63.945 114.6907
46.548996 65.120 96.3346
46.886307 66.139 78.1393
47.226067 67.018 60.4443
47.568283 67.770 43.5214
47.912983 68.409 27.5480
48.260181 68.955 12.6086
48.609894 69.437 -1.3010
48.962143 69.884 -14.2600
49.316940 70.328 -26.4031
49.674313 70.793 -37.8968
50.034271 71.293 -48.9169
50.396843 71.828 -59.6302
50.762039 72.388 -70.1769
51.129883 72.953 -80.6526
51.500389 73.506 -91.0923
51.873581 74.036 -101.4704
52.249481 74.546 -111.7272
52.628101 75.055 -121.8241
53.009464 75.587 -131.7982
53.393593 76.156 -141.7727
53.780506 76.755 -151.9001
54.170223 77.359 -162.2682
54.562763 77.941 -172.8401
54.958145 78.486 176.5228
55.356396 79.001 165.9709
55.757530 79.503 155.5693
56.161572 80.005 145.2609
56.568542 80.500 134.9281
56.978462 80.965 124.5212
57.391350 81.374 114.1517
57.807232 81.729 104.0748
58.226128 82.072 94.5493
58.648056 82.483 85.6295
59.073048 83.042 77.0160
59.501114 83.776 68.0873
59.932281 84.627 58.2040
60.366577 85.485 47.0724
60.804020 86.253 34.8854
61.244629 86.887 22.1611
61.688435 87.407 9.4824
62.135452 87.883 -2.8105
62.585712 88.393 -14.8239
63.039234 88.962 -26.9701
63.496040 89.558 -39.5554
63.956161 90.143 -52.5059
64.419617 90.745 -65.5251
64.886421 91.454 -78.6730
65.356621 92.321 -92.7034
65.830215 93.266 -108.7958
66.307251 94.103 -127.7024
66.787743 94.650 -149.3037
67.271713 94.776 -172.7578
67.759193 94.408 163.2189
68.250206 93.522 140.0383
68.744774 92.155 119.1453
69.242928 90.438 101.5490
69.744690 88.594 87.0431
70.250084 86.835 74.0992
70.759148 85.141 61.4016
71.271896 83.271 49.6731
71.788361 81.020 41.7793
72.308571 78.478 40.3999
72.832550 76.179 45.2814
73.360321 74.892 53.1792
73.891922 74.959 60.6707
74.427376 76.003 64.4884
74.966705 77.318 63.0105
75.509949 78.435 57.3960
76.057121 79.307 49.8792
76.608261 80.062 41.8848
77.163399 80.799 33.6143
77.722557 81.550 24.9957
78.285767 82.345 16.1160
78.853058 83.238 6.9280
79.424461 84.250 -2.9076
80.000000 85.363 -13.7654
80.579712 86.564 -25.8842
81.163628 87.834 -39.6489
81.751770 89.086 -55.7311
82.344177 90.167 -74.6311
82.940880 90.906 -96.1860
83.541901 91.192 -119.4762
84.147285 90.980 -143.1360
84.757050 90.305 -165.6808
85.371231 89.273 173.9235
85.989868 88.044 155.9478
86.612984 86.772 139.8197
87.240616 85.526 124.7560
87.872803 84.304 110.2426
88.509560 83.095 95.9897
89.150940 81.885 81.7124
89.796967 80.644 67.1787
90.447670 79.320 52.2006
91.103088 77.864 36.3229
91.763260 76.208 18.4705
92.428215 74.252 -3.1937
93.097992 71.907 -31.3475
93.772614 69.301 -68.6362
94.452133 67.366 -113.9717
95.136566 67.625 -159.1157
95.825966 69.424 164.3638
96.520363 71.372 137.5632
97.219788 73.009 117.1931
97.924286 74.312 100.1826
98.633881 75.365 84.8347
99.348625 76.253 70.2646
100.068542 77.000 55.8677
100.793686 77.563 41.2800
101.524078 77.884 26.6819
102.259766 77.982 12.8379
103.000778 78.011 0.3523
103.747162 78.136 -11.2410
104.498962 78.328 -23.0493
105.256203 78.380 -35.2625
106.018929 78.174 -46.6543
106.787186 77.866 -55.8413
107.561012 77.846 -62.9763
108.340446 78.364 -70.0525
109.125526 79.222 -79.1958
109.916290 80.072 -91.1221
110.712791 80.726 -105.3545
111.515060 81.144 -121.0068
112.323143 81.326 -137.1602
113.137085 81.281 -153.0635
113.956924 81.049 -168.3293
114.782700 80.705 177.0789
115.614464 80.318 163.1401
116.452255 79.926 149.8740
117.296112 79.551 137.0369
118.146095 79.175 124.2522
119.002228 78.758 111.7004
119.864563 78.323 99.9871
120.733154 77.981 89.3135
121.608040 77.906 79.1841
122.489258 78.228 68.2131
123.376869 78.798 54.4031
124.270905 79.250 36.9214
125.171425 79.346 16.8682
126.078468 79.050 -4.0334
126.992081 78.412 -24.8101
127.912323 77.462 -45.2803
128.839233 76.164 -64.9358
129.772842 74.426 -81.4822
130.713242 72.233 -91.0798
131.660431 70.074 -91.2505
132.614502 69.583 -85.9419
133.575485 71.337 -84.8054
134.543427 73.596 -93.2017
135.518387 75.473 -109.2217
136.500412 76.875 -129.2349
137.489548 77.900 -150.5518
138.485855 78.666 -171.7463
139.489380 79.278 167.4346
140.500168 79.783 146.7190
141.518295 80.164 126.1958
142.543793 80.419 106.4009
143.576721 80.617 87.7415
144.617142 80.879 70.1013
145.665100 81.282 52.5193
146.720642 81.699 33.5586
147.783844 81.853 13.2236
148.854752 81.623 -6.2090
149.933411 81.207 -22.6523
151.019897 81.004 -36.6226
152.114243 81.231 -50.2212
153.216522 81.732 -65.2048
154.326797 82.205 -82.5337
155.445114 82.446 -102.1162
156.571533 82.330 -122.6309
157.706116 81.804 -142.3108
158.848923 80.951 -159.9392
160.000000 79.962 -175.1311
161.159424 79.011 171.7405
162.327255 78.204 159.9570
163.503540 77.586 149.0991
164.688354 77.167 138.7683
165.881760 76.908 128.3462
167.083801 76.772 117.3245
168.294571 76.674 105.1543
169.514099 76.415 92.1294
170.742462 75.891 79.6960
171.979736 75.216 69.5649
173.225967 74.745 62.3645
174.481232 74.830 55.9092
175.745605 75.296 47.1526
177.019119 75.707 36.0403
178.301880 75.957 24.6042
179.593933 76.219 13.7737
180.895340 76.651 3.2209
182.206177 77.305 -7.6772
183.526520 78.140 -19.7288
184.856430 79.080 -33.4309
186.195984 80.106 -49.0256
187.545227 81.123 -67.3677
188.904266 81.887 -88.9819
190.273132 82.201 -112.8210
191.651932 82.032 -137.0344
193.040726 81.485 -160.2493
194.439575 80.708 177.8757
195.848572 79.800 157.2927
197.267761 78.873 138.1104
198.697250 78.221 118.8787
200.137085 77.969 95.5747
201.587372 77.666 64.9131
203.048157 76.712 27.6572
204.519531 74.876 -12.6069
206.001556 72.452 -52.4045
207.494324 70.508 -89.9585
208.997925 70.476 -125.8887
210.512405 71.831 -161.5857
212.037857 73.178 163.4460
213.574371 73.983 131.1592
215.122025 74.220 103.5669
216.680893 74.199 82.1284
218.251053 74.479 65.5176
219.832581 75.288 49.9446
221.425583 76.314 32.2612
223.030121 77.109 11.5078
224.646286 77.391 -10.6172
226.274170 77.143 -30.7197
227.913849 76.755 -45.8438
229.565399 77.117 -56.5352
231.228928 78.546 -68.4673
232.904510 80.100 -87.1523
234.592224 81.062 -111.7998
236.292191 81.327 -137.8628
238.004456 81.110 -161.7021
239.729126 80.862 177.4058
241.466309 80.905 157.1025
243.216080 81.042 135.3530
244.978516 81.075 113.0142
246.753738 81.225 90.3071
248.541809 81.510 64.4150
250.342850 81.421 33.9131
252.156937 80.516 1.9316
253.984161 78.698 -26.1533
255.824646 76.210 -46.5552
257.678467 73.801 -61.4370
259.545685 72.156 -77.2339
261.426483 70.864 -95.3682
263.320862 69.572 -113.9482
265.229004 68.347 -134.4224
267.150970 67.062 -158.0254
269.086853 65.925 175.5986
271.036774 66.354 143.1875
273.000824 68.920 99.2490
274.979095 72.173 45.3438
276.971710 75.175 -10.5884
278.978760 77.595 -63.4189
281.000336 79.354 -112.5254
283.036591 80.406 -159.0474
285.087585 80.622 156.9023
287.153442 80.057 118.0605
289.234283 79.386 85.1924
291.330200 79.319 51.2793
293.441284 79.272 7.8467
295.567688 78.376 -49.8550
297.709503 76.374 -126.1992
299.866821 74.170 141.4321
302.039795 73.944 52.8408
304.228485 75.044 -14.1597
306.433044 75.998 -60.3779
308.653595 77.176 -93.6230
310.890228 79.200 -122.9272
313.143066 81.411 -157.6997
315.412231 82.953 158.8301
317.697845 83.553 110.1836
320.000000 83.257 61.4521
322.318848 82.341 15.8242
324.654510 81.223 -27.2900
327.007080 80.022 -69.8062
329.376709 78.506 -110.3086
331.763519 76.808 -146.5098
334.167603 75.560 179.2812
336.589142 74.911 142.7324
339.028198 74.349 103.6587
341.484924 73.825 64.1416
343.959473 73.749 22.7544
346.451935 74.039 -24.1992
348.962463 74.171 -77.9399
351.491211 73.737 -135.8599
354.038239 72.560 168.1572
356.603760 71.034 119.1953
