* Measurement data measured by REW V5.20.3
* Source: Input device not selected, no input selected, R, volume: 0,000. Timing signal peak level -38,1 dBFS, measurement signal peak level -25,6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 13.09.2022 17:18:52
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0,3777 ms (130 mm, 5,1 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: Sep 134
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.145 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.144928 44.619 -117.3749
20.290907 43.269 -122.0536
20.437943 41.909 -127.2629
20.586044 39.742 -128.7071
20.735220 36.017 -128.6967
20.885475 33.595 -113.6715
21.036821 33.891 -67.2655
21.189262 35.421 -15.1219
21.342808 37.034 -2.3892
21.497467 39.019 2.7999
21.653246 40.201 4.8332
21.810154 40.393 3.1896
21.968201 39.944 2.9573
22.127390 38.660 6.1599
22.287735 37.063 13.6738
22.449242 36.189 32.1118
22.611917 35.848 58.9304
22.775772 36.660 77.8475
22.940815 38.848 88.6768
23.107054 40.739 93.9703
23.274498 41.900 93.0869
23.443153 42.611 88.6007
23.613033 42.826 82.2018
23.784142 42.631 73.1827
23.956491 42.077 61.7473
24.130091 41.240 47.5873
24.304947 40.314 29.9532
24.481071 39.328 9.3564
24.658470 38.603 -12.7867
24.837156 38.063 -36.5584
25.017136 37.541 -60.5809
25.198421 37.082 -85.2490
25.381020 36.844 -112.7134
25.564941 36.858 -142.3597
25.750195 37.586 -170.4186
25.936790 38.889 163.1915
26.124741 40.011 141.9320
26.314051 40.950 124.9290
26.504732 41.277 109.9196
26.696796 41.011 95.9263
26.890253 39.859 79.6798
27.085112 38.231 58.5174
27.281382 36.508 22.6696
27.479073 35.727 -16.8158
27.678198 37.694 -51.5988
27.878765 39.964 -78.2233
28.080786 41.570 -92.4658
28.284271 42.449 -101.7946
28.489231 42.513 -107.1863
28.695675 41.849 -109.4337
28.903616 40.472 -107.4109
29.113064 38.227 -97.6168
29.324028 36.063 -79.2407
29.536524 34.917 -47.7026
29.750557 35.076 -20.4941
29.966141 36.647 -1.7832
30.183289 37.757 12.1140
30.402010 38.584 22.4686
30.622314 39.225 32.3577
30.844217 39.807 40.3230
31.067726 40.376 46.0179
31.292856 40.746 47.8801
31.519617 40.865 45.6384
31.748020 40.612 38.8190
31.978081 40.159 26.9512
32.209808 39.642 10.2587
32.443211 39.574 -10.2288
32.678310 39.942 -30.8798
32.915108 40.756 -49.6221
33.153625 41.464 -64.6873
33.393871 41.913 -77.0671
33.635857 41.934 -87.4031
33.879597 41.451 -97.3640
34.125103 40.411 -108.5295
34.372387 38.761 -122.4773
34.621464 36.445 -143.9702
34.872345 34.349 -173.9871
35.125042 33.207 147.6904
35.379574 33.820 117.5592
35.635948 34.580 96.1641
35.894180 34.623 84.4055
36.154285 33.358 80.6040
36.416275 31.190 92.5436
36.680161 29.938 119.8353
36.945961 32.187 159.5264
37.213688 34.867 172.0201
37.483353 36.991 167.7787
37.754974 38.224 152.8818
38.028561 39.071 132.0947
38.304131 40.020 108.5554
38.581699 41.054 85.4939
38.861279 42.030 65.2420
39.142883 42.630 49.0444
39.426529 42.635 36.2774
39.712231 41.965 26.3190
40.000000 40.585 18.6718
40.289856 38.527 12.7744
40.581814 35.947 7.5383
40.875885 33.752 -0.1738
41.172089 33.271 -11.7690
41.470440 34.619 -25.5840
41.770950 36.715 -37.9164
42.073643 38.222 -47.0494
42.378525 38.808 -53.0092
42.685616 38.352 -54.4484
42.994934 36.997 -47.9509
43.306492 35.927 -31.1069
43.620308 36.932 -8.1229
43.936401 40.242 3.0036
44.254780 43.733 -1.8586
44.575470 47.114 -16.1196
44.898483 50.297 -33.9731
45.223835 53.184 -52.0916
45.551544 55.695 -69.4313
45.881630 57.808 -86.2466
46.214108 59.555 -103.0950
46.548996 61.005 -120.2889
46.886307 62.240 -137.7185
47.226067 63.326 -154.8903
47.568283 64.296 -171.1422
47.912983 65.156 174.0459
48.260181 65.903 160.8724
48.609894 66.545 149.1926
48.962143 67.102 138.6204
49.316940 67.598 128.6943
49.674313 68.060 119.0417
50.034271 68.517 109.4785
50.396843 68.988 100.0085
50.762039 69.491 90.7371
51.129883 70.027 81.7590
51.500389 70.590 73.0909
51.873581 71.168 64.6711
52.249481 71.757 56.3967
52.628101 72.359 48.1586
53.009464 72.987 39.8561
53.393593 73.645 31.4117
53.780506 74.324 22.7998
54.170223 75.005 14.0726
54.562763 75.666 5.3473
54.958145 76.296 -3.2542
55.356396 76.896 -11.6799
55.757530 77.476 -19.9834
56.161572 78.038 -28.2867
56.568542 78.576 -36.6796
56.978462 79.079 -45.1271
57.391350 79.548 -53.4609
57.807232 80.004 -61.4604
58.226128 80.494 -68.9857
58.648056 81.073 -76.0979
59.073048 81.783 -83.1028
59.501114 82.620 -90.4958
59.932281 83.527 -98.7578
60.366577 84.412 -108.1121
60.804020 85.197 -118.3906
61.244629 85.850 -129.1178
61.688435 86.399 -139.7202
62.135452 86.928 -149.8501
62.585712 87.524 -159.6417
63.039234 88.206 -169.5797
63.496040 88.922 179.9788
63.956161 89.620 169.1284
64.419617 90.330 158.2396
64.886421 91.158 147.2941
65.356621 92.172 135.4907
65.830215 93.286 121.5469
66.307251 94.295 104.6532
66.787743 95.011 84.9380
67.271713 95.301 63.2600
67.759193 95.100 40.8885
68.250206 94.392 19.1980
68.744774 93.218 -0.3901
69.242928 91.711 -16.8038
69.744690 90.089 -30.0802
70.250084 88.578 -41.6329
70.759148 87.194 -53.0959
71.271896 85.737 -64.6211
71.788361 84.016 -74.7316
72.308571 82.044 -81.8643
72.832550 80.032 -85.9135
73.360321 78.162 -87.8939
73.891922 76.415 -87.7832
74.427376 74.864 -84.5221
74.966705 73.895 -78.9166
75.509949 73.685 -74.0673
76.057121 73.864 -71.2939
76.608261 74.165 -69.4529
77.163399 74.672 -67.7533
77.722557 75.467 -66.7769
78.285767 76.489 -67.1819
78.853058 77.675 -69.0562
79.424461 79.001 -72.3826
80.000000 80.428 -77.2809
80.579712 81.919 -83.7595
81.163628 83.472 -91.8179
81.751770 85.062 -101.9163
82.344177 86.573 -114.8464
82.940880 87.816 -131.0422
83.541901 88.633 -149.9662
84.147285 88.937 -170.3129
84.757050 88.724 169.6038
85.371231 88.074 151.1871
85.989868 87.138 135.1801
86.612984 86.101 121.3782
87.240616 85.085 109.0646
87.872803 84.124 97.6616
88.509560 83.208 86.8823
89.150940 82.324 76.4045
89.796967 81.443 65.7710
90.447670 80.520 54.5503
91.103088 79.513 42.3632
91.763260 78.359 28.8285
92.428215 76.931 13.6765
93.097992 75.035 -3.4261
93.772614 72.456 -24.2133
94.452133 69.004 -54.8687
95.136566 64.885 -105.5334
95.825966 63.021 -168.9309
96.520363 65.258 143.6196
97.219788 67.918 117.6636
97.924286 69.857 102.3621
98.633881 71.183 90.6606
99.348625 72.101 80.4185
100.068542 72.790 71.2585
100.793686 73.343 62.8875
101.524078 73.754 54.8210
102.259766 73.985 46.9314
103.000778 74.072 39.7812
103.747162 74.142 33.9846
104.498962 74.311 29.2788
105.256203 74.576 24.7078
106.018929 74.878 19.6304
106.787186 75.225 14.0586
107.561012 75.672 8.2039
108.340446 76.247 1.9670
109.125526 76.905 -5.1980
109.916290 77.543 -13.8381
110.712791 78.058 -23.9790
111.515060 78.376 -35.1509
112.323143 78.456 -46.6816
113.137085 78.300 -57.9219
113.956924 77.957 -68.4631
114.782700 77.487 -78.0659
115.614464 76.962 -86.3813
116.452255 76.514 -93.4482
117.296112 76.250 -100.3701
118.146095 76.088 -108.4382
119.002228 75.825 -117.7585
119.864563 75.275 -127.0415
120.733154 74.337 -133.6731
121.608040 73.319 -134.7444
122.489258 73.304 -131.5498
123.376869 74.724 -131.4131
124.270905 76.428 -139.4758
125.171425 77.656 -154.1555
126.078468 78.304 -171.9768
126.992081 78.489 168.9924
127.912323 78.317 149.3936
128.839233 77.767 129.2319
129.772842 76.717 108.6084
130.713242 75.050 89.0515
131.660431 72.673 74.7900
132.614502 69.516 73.1765
133.575485 66.198 90.3525
134.543427 65.977 115.1040
135.518387 68.601 125.0908
136.500412 70.836 118.1855
137.489548 72.174 104.7354
138.485855 72.962 91.6580
139.489380 73.701 81.0137
140.500168 74.618 71.5366
141.518295 75.585 61.4841
142.543793 76.477 50.3953
143.576721 77.275 38.6726
144.617142 78.013 26.8020
145.665100 78.718 14.5176
146.720642 79.286 1.0957
147.783844 79.528 -13.1814
148.854752 79.395 -26.4600
149.933411 79.101 -36.8403
151.019897 78.975 -44.4854
152.114243 79.187 -51.4397
153.216522 79.664 -59.5261
154.326797 80.193 -69.2690
155.445114 80.581 -80.5671
156.571533 80.728 -92.9780
157.706116 80.592 -105.4360
158.848923 80.153 -116.7207
160.000000 79.498 -125.9451
161.159424 78.831 -132.7688
162.327255 78.364 -137.8037
163.503540 78.206 -142.5486
164.688354 78.277 -148.3528
165.881760 78.393 -155.5925
167.083801 78.412 -164.0391
168.294571 78.224 -173.1050
169.514099 77.758 178.2197
170.742462 77.120 170.8574
171.979736 76.507 164.4209
173.225967 75.866 158.2964
174.481232 75.060 153.2800
175.745605 74.160 150.2317
177.019119 73.303 149.2197
178.301880 72.545 150.3037
179.593933 72.036 153.8484
180.895340 72.163 159.2620
182.206177 73.156 164.1567
183.526520 74.715 165.9919
184.856430 76.421 163.8020
186.195984 78.067 157.7405
187.545227 79.510 147.8237
188.904266 80.543 134.3589
190.273132 81.037 119.0659
191.651932 81.033 104.1323
193.040726 80.674 90.8958
194.439575 80.148 79.4111
195.848572 79.537 69.2153
197.267761 78.862 60.4673
198.697250 78.293 52.8936
200.137085 77.968 44.6577
201.587372 77.666 34.1697
203.048157 77.056 22.1636
204.519531 76.077 10.4314
206.001556 74.908 -1.1943
207.494324 73.603 -15.7224
208.997925 71.894 -38.1550
210.512405 69.402 -76.0664
212.037857 66.483 -135.8923
213.574371 65.947 155.0078
215.122025 68.016 102.9583
216.680893 69.915 72.8789
218.251053 71.109 54.6975
219.832581 71.745 41.1372
221.425583 72.007 29.8638
223.030121 72.017 19.6426
224.646286 71.678 9.9526
226.274170 70.849 2.7693
227.913849 69.680 2.0205
229.565399 69.182 9.0044
231.228928 70.503 17.4297
232.904510 72.587 18.5845
234.592224 74.281 11.3423
236.292191 75.422 -0.3708
238.004456 76.087 -13.6226
239.729126 76.311 -26.8347
241.466309 76.166 -38.4221
243.216080 75.940 -47.1040
244.978516 76.178 -53.4243
246.753738 77.225 -60.9697
248.541809 78.544 -75.0605
250.342850 79.305 -97.8477
252.156937 79.076 -126.6624
253.984161 77.747 -157.2366
255.824646 75.296 175.2981
257.678467 71.645 161.6177
259.545685 66.737 176.7114
261.426483 61.145 -151.3450
263.320862 58.130 -145.9614
265.229004 60.469 169.2908
267.150970 65.042 88.6772
269.086853 68.964 13.7153
271.036774 71.566 -35.9653
273.000824 73.197 -66.9800
274.979095 74.466 -88.0015
276.971710 75.801 -104.9526
278.978760 77.327 -122.0161
281.000336 78.833 -142.7046
283.036591 79.954 -169.0918
285.087585 80.355 158.8872
287.153442 79.737 124.1157
289.234283 77.950 92.5850
291.330200 75.124 70.3171
293.441284 71.966 58.4265
295.567688 70.406 50.5281
297.709503 71.484 36.0928
299.866821 73.383 10.8003
302.039795 75.149 -21.1362
304.228485 76.679 -55.0195
306.433044 78.098 -88.1343
308.653595 79.555 -120.4082
310.890228 80.773 -154.4829
313.143066 81.285 168.8589
315.412231 80.864 132.6113
317.697845 79.511 101.3940
320.000000 77.512 79.6201
322.318848 76.091 65.1914
324.654510 76.351 46.2822
327.007080 76.880 13.9771
329.376709 76.260 -28.5020
331.763519 74.002 -66.8389
334.167603 70.084 -78.9409
336.589142 65.434 -57.9980
339.028198 63.620 -42.2598
341.484924 64.184 -55.9092
343.959473 64.152 -79.1094
346.451935 63.963 -96.5693
348.962463 64.480 -110.1631
351.491211 65.708 -122.5898
354.038239 67.499 -136.1929
356.603760 69.042 -154.8911
