freq,avg_deviation,max_min_spread,stddev,iqr,stability_iqr,cut_weight_iqr,boost_weight_iqr
20.144928000000004,-33.02267610440205,10.765973861914723,3.895401264254323,5.929246760420476,0.2038229616905609,0.3033470884645378,0.09201945607991212
20.326848476550488,-32.73368029548392,6.928595776389663,2.7159371734662536,4.919433569799395,0.2710775877814423,0.3756818460230377,0.1411368494312774
20.510411801354817,-32.745554118585126,5.446036729778463,1.946984057820213,1.021572305134896,0.8960921444325347,0.9210103328325128,0.8482600331842559
20.695632810293105,-33.05947745461546,6.051699276339232,2.3770997826142684,4.136201943200632,0.3447197257168952,0.449883019801843,0.20239473150602544
20.882526473222185,-33.40189964579759,8.476462305837057,2.9579254763036644,3.9134554413829434,0.37013985562020246,0.4745417072899106,0.22518983195762318
21.071107895185406,-33.40420899344407,9.521489445278231,3.129648199951608,2.5662313152868137,0.5774582191683466,0.6624306603494243,0.43881437977097437
21.26139231763352,-33.062331876616355,8.325403234179024,2.7634016349005632,0.933376071964581,0.9117440943780005,0.9330495746115963,0.8705815086828809
21.453395119656488,-32.663494035372885,6.392704839104887,2.3450359795716986,1.303023763348918,0.8412888939020979,0.8784334536282188,0.7716453324532001
21.647131819226413,-32.61000093984275,7.731504738948608,2.524480218085922,1.8768468596266317,0.7187032216703839,0.7805706073134351,0.609290473001665
21.842618074451792,-32.908905822448254,9.210385122517426,3.117573998148252,2.8303029551782046,0.5290814057131353,0.6203572670694114,0.38484313880582904
22.03986968484299,-33.8870600442473,11.150686608754754,3.8758768134162835,3.306005857272673,0.4515879020950843,0.5508796432255796,0.3034683813203418
22.23890259258916,-34.842655878845505,12.46393222670147,4.4206123183535,3.6997379665371533,0.3966844055847329,0.4998432663818841,0.24984329094731114
22.439732883846773,-35.77094396396441,13.129903137584108,4.718869556879307,4.559096610586039,0.3021618481188506,0.40754889605572325,0.1660961026762387
22.642376790039698,-35.82664416732378,11.175989660776942,4.067853620952505,4.409759423807561,0.316389190217328,0.4218579401023481,0.17796412162739636
